datetime,x,y,z,vx,vy,vz,identifier
A.D. 2024-Oct-03 17:00:00.0000,-2.20526797350427,0.8277470094964039,0.2432327141354437,-0.002914438080514579,-0.01077749302974928,0.0006754956939587488,4
A.D. 2024-Oct-03 18:00:00.0000,-2.205389365645341,0.8272979311061704,0.2432608550611871,-0.002912384653778678,-0.01077826963845146,0.0006752687353307699,4
A.D. 2024-Oct-03 19:00:00.0000,-2.205510672222323,0.8268488203651144,0.243288986529522,-0.002910331004260946,-0.01077904586934669,0.0006750417383515102,4
A.D. 2024-Oct-03 20:00:00.0000,-2.205631893225937,0.826399677288974,0.2433171085388504,-0.002908277132019175,-0.01077982172236393,0.0006748147030258991,4
A.D. 2024-Oct-03 21:00:00.0000,-2.2057530286469,0.8259505018934982,0.2433452210875749,-0.002906223037111217,-0.01078059719743214,0.0006745876293588731,4
A.D. 2024-Oct-03 22:00:00.0000,-2.205874078475937,0.8255012941944392,0.2433733241740979,-0.002904168719594945,-0.01078137229448023,0.0006743605173553698,4
A.D. 2024-Oct-03 23:00:00.0000,-2.205995042703775,0.8250520542075438,0.2434014177968222,-0.002902114179528223,-0.0107821470134372,0.0006741333670203277,4
A.D. 2024-Oct-04 00:00:00.0000,-2.206115921321142,0.8246027819485701,0.2434295019541506,-0.002900059416968969,-0.01078292135423198,0.0006739061783586916,4
A.D. 2024-Oct-04 01:00:00.0000,-2.206236714318766,0.8241534774332785,0.2434575766444866,-0.002898004431975125,-0.01078369531679354,0.0006736789513754086,4
A.D. 2024-Oct-04 02:00:00.0000,-2.206357421687384,0.8237041406774256,0.2434856418662331,-0.002895949224604623,-0.01078446890105083,0.0006734516860754244,4
A.D. 2024-Oct-04 03:00:00.0000,-2.206478043417729,0.8232547716967777,0.2435136976177941,-0.00289389379491545,-0.01078524210693284,0.0006732243824636935,4
A.D. 2024-Oct-04 04:00:00.0000,-2.20659857950054,0.822805370507105,0.243541743897573,-0.002891838142965616,-0.01078601493436851,0.0006729970405451707,4
A.D. 2024-Oct-04 05:00:00.0000,-2.206719029926556,0.8223559371241719,0.2435697807039742,-0.00288978226881312,-0.01078678738328684,0.0006727696603248114,4
A.D. 2024-Oct-04 06:00:00.0000,-2.206839394686523,0.8219064715637543,0.2435978080354015,-0.002887726172516019,-0.01078755945361677,0.0006725422418075777,4
A.D. 2024-Oct-04 07:00:00.0000,-2.206959673771182,0.8214569738416303,0.2436258258902596,-0.00288566985413239,-0.0107883311452873,0.0006723147849984334,4
A.D. 2024-Oct-04 08:00:00.0000,-2.207079867171282,0.8210074439735743,0.243653834266953,-0.002883613313720301,-0.0107891024582274,0.0006720872899023428,4
A.D. 2024-Oct-04 09:00:00.0000,-2.207199974877576,0.8205578819753708,0.2436818331638865,-0.002881556551337879,-0.01078987339236606,0.0006718597565242746,4
A.D. 2024-Oct-04 10:00:00.0000,-2.207319996880812,0.820108287862807,0.2437098225794649,-0.002879499567043266,-0.01079064394763225,0.000671632184869205,4
A.D. 2024-Oct-04 11:00:00.0000,-2.207439933171748,0.8196586616516656,0.243737802512094,-0.002877442360894602,-0.01079141412395496,0.0006714045749421021,4
A.D. 2024-Oct-04 12:00:00.0000,-2.20755978374114,0.8192090033577397,0.2437657729601787,-0.00287538493295008,-0.01079218392126319,0.0006711769267479473,4
A.D. 2024-Oct-04 13:00:00.0000,-2.207679548579747,0.818759312996826,0.2437937339221248,-0.002873327283267913,-0.01079295333948592,0.000670949240291722,4
A.D. 2024-Oct-04 14:00:00.0000,-2.207799227678333,0.8183095905847162,0.2438216853963383,-0.002871269411906306,-0.01079372237855215,0.0006707215155784056,4
A.D. 2024-Oct-04 15:00:00.0000,-2.207918821027661,0.8178598361372121,0.2438496273812252,-0.002869211318923521,-0.01079449103839089,0.0006704937526129861,4
