datetime,x,y,z,vx,vy,vz,identifier
A.D. 2024-Oct-04 05:00:00.0000,1.509287769527997,-2.506999540412105,-0.3582184646312925,0.008342026912039105,0.004731606571405376,-0.001385840266000677,1
A.D. 2024-Oct-04 06:00:00.0000,1.509635338779746,-2.506802365032429,-0.3582762043801798,0.00834129714622711,0.004732811633511615,-0.00138566767647842,1
A.D. 2024-Oct-04 07:00:00.0000,1.50998287762138,-2.506605139444273,-0.3583339369373237,0.008340567226610817,0.004734016578441112,-0.001385495062329154,1
A.D. 2024-Oct-04 08:00:00.0000,1.510330386046494,-2.50640786365252,-0.3583916623016984,0.00833983715320774,0.004735221406178628,-0.001385322423556587,1
A.D. 2024-Oct-04 09:00:00.0000,1.510677864048679,-2.506210537662052,-0.3584493804722783,0.008339106926035386,0.004736426116708906,-0.001385149760164427,1
A.D. 2024-Oct-04 10:00:00.0000,1.511025311621527,-2.506013161477756,-0.3585070914480364,0.008338376545111277,0.004737630710016688,-0.001384977072156386,1
A.D. 2024-Oct-04 11:00:00.0000,1.511372728758636,-2.505815735104513,-0.3585647952279492,0.008337646010452917,0.004738835186086743,-0.001384804359536168,1
A.D. 2024-Oct-04 12:00:00.0000,1.511720115453598,-2.50561825854721,-0.3586224918109897,0.00833691532207782,0.004740039544903818,-0.001384631622307483,1
A.D. 2024-Oct-04 13:00:00.0000,1.512067471700007,-2.505420731810733,-0.3586801811961331,0.008336184480003507,0.004741243786452663,-0.00138445886047404,1
A.D. 2024-Oct-04 14:00:00.0000,1.512414797491463,-2.505223154899968,-0.3587378633823541,0.008335453484247477,0.004742447910718053,-0.001384286074039546,1
A.D. 2024-Oct-04 15:00:00.0000,1.512762092821561,-2.505025527819802,-0.3587955383686282,0.00833472233482725,0.004743651917684741,-0.001384113263007708,1
A.D. 2024-Oct-04 16:00:00.0000,1.513109357683898,-2.504827850575124,-0.3588532061539299,0.008333991031760345,0.00474485580733749,-0.001383940427382236,1
A.D. 2024-Oct-04 17:00:00.0000,1.513456592072074,-2.50463012317082,-0.3589108667372353,0.008333259575064264,0.004746059579661078,-0.001383767567166837,1
A.D. 2024-Oct-04 18:00:00.0000,1.513803795979687,-2.504432345611781,-0.358968520117519,0.008332527964756526,0.004747263234640267,-0.001383594682365218,1
A.D. 2024-Oct-04 19:00:00.0000,1.514150969400336,-2.504234517902897,-0.3590261662937573,0.008331796200854643,0.004748466772259823,-0.001383421772981089,1
A.D. 2024-Oct-04 20:00:00.0000,1.514498112327625,-2.504036640049057,-0.3590838052649259,0.008331064283376126,0.004749670192504533,-0.001383248839018155,1
A.D. 2024-Oct-04 21:00:00.0000,1.514845224755153,-2.503838712055151,-0.3591414370300008,0.008330332212338486,0.00475087349535917,-0.001383075880480125,1
A.D. 2024-Oct-04 22:00:00.0000,1.51519230667652,-2.503640733926075,-0.3591990615879581,0.008329599987759248,0.004752076680808502,-0.001382902897370708,1
