datetime,x,y,z,vx,vy,vz,identifier
A.D. 2024-Oct-02 00:00:00.0000,-0.1867906310666772,-2.625317655663308,1.831513388057577,0.008585953161271307,-0.001999800339092398,0.0006425624060435592,2
A.D. 2024-Oct-02 01:00:00.0000,-0.1864328816061692,-2.625400960173919,1.831540147165538,0.008586020920140424,-0.001998816174758955,0.0006418747812339379,2
A.D. 2024-Oct-02 02:00:00.0000,-0.1860751293252546,-2.625484223678246,1.831566877623105,0.008586088540784851,-0.001997832037482422,0.000641187187088017,2
A.D. 2024-Oct-02 03:00:00.0000,-0.1857173742296887,-2.625567446177419,1.831593579431555,0.008586156023220317,-0.001996847927268929,0.0006404996236086922,2
A.D. 2024-Oct-02 04:00:00.0000,-0.1853596163252376,-2.625650627672562,1.831620252592166,0.00858622336746254,-0.001995863844124634,0.0006398120907988789,2
A.D. 2024-Oct-02 05:00:00.0000,-0.1850018556176552,-2.625733768164805,1.831646897106215,0.00858629057352724,-0.001994879788055663,0.0006391245886614695,2
A.D. 2024-Oct-02 06:00:00.0000,-0.1846440921126946,-2.625816867655276,1.83167351297498,0.008586357641430129,-0.001993895759068137,0.0006384371171993546,2
A.D. 2024-Oct-02 07:00:00.0000,-0.1842863258161201,-2.625899926145103,1.83170010019974,0.008586424571186923,-0.001992911757168207,0.0006377496764154463,2
A.D. 2024-Oct-02 08:00:00.0000,-0.1839285567336835,-2.625982943635416,1.831726658781774,0.008586491362813326,-0.00199192778236199,0.0006370622663126326,2
A.D. 2024-Oct-02 09:00:00.0000,-0.183570784871136,-2.626065920127343,1.831753188722359,0.008586558016325048,-0.001990943834655603,0.0006363748868938003,2
A.D. 2024-Oct-02 10:00:00.0000,-0.1832130102342398,-2.626148855622014,1.831779690022775,0.00858662453173779,-0.001989959914055187,0.0006356875381618567,2
A.D. 2024-Oct-02 11:00:00.0000,-0.1828552328287449,-2.626231750120558,1.831806162684299,0.008586690909067251,-0.001988976020566855,0.0006350002201196866,2
A.D. 2024-Oct-02 12:00:00.0000,-0.1824974526604005,-2.626314603624104,1.831832606708211,0.008586757148329132,-0.001987992154196714,0.0006343129327701719,2
A.D. 2024-Oct-02 13:00:00.0000,-0.1821396697349669,-2.626397416133784,1.83185902209579,0.00858682324953912,-0.0019870083149509,0.000633625676116216,2
A.D. 2024-Oct-02 14:00:00.0000,-0.181781884058192,-2.626480187650727,1.831885408848314,0.00858688921271291,-0.001986024502835517,0.0006329384501606995,2
A.D. 2024-Oct-02 15:00:00.0000,-0.1814240956358231,-2.626562918176064,1.831911766967063,0.008586955037866186,-0.001985040717856666,0.0006322512549065001,2
A.D. 2024-Oct-02 16:00:00.0000,-0.1810663044736186,-2.626645607710926,1.831938096453316,0.008587020725014636,-0.001984056960020477,0.0006315640903565177,2
A.D. 2024-Oct-02 17:00:00.0000,-0.1807085105773244,-2.626728256256442,1.831964397308352,0.008587086274173938,-0.001983073229333046,0.0006308769565136278,2
A.D. 2024-Oct-02 18:00:00.0000,-0.1803507139526858,-2.626810863813747,1.831990669533452,0.00858715168535977,-0.001982089525800466,0.0006301898533807047,2
A.D. 2024-Oct-02 19:00:00.0000,-0.1799929146054591,-2.62689343038397,1.832016913129894,0.00858721695858781,-0.001981105849428861,0.0006295027809606442,2
A.D. 2024-Oct-02 20:00:00.0000,-0.1796351125413886,-2.626975955968243,1.832043128098959,0.008587282093873726,-0.001980122200224318,0.0006288157392563174,2
A.D. 2024-Oct-02 21:00:00.0000,-0.1792773077662174,-2.6270584405677,1.832069314441925,0.008587347091233192,-0.001979138578192927,0.0006281287282705949,2
A.D. 2024-Oct-02 22:00:00.0000,-0.1789195002856999,-2.62714088418347,1.832095472160074,0.008587411950681868,-0.0019781549833408,0.0006274417480063676,2
A.D. 2024-Oct-02 23:00:00.0000,-0.1785616901055784,-2.627223286816688,1.832121601254685,0.008587476672235419,-0.001977171415674021,0.0006267547984665032,2
A.D. 2024-Oct-03 00:00:00.0000,-0.178203877231594,-2.627305648468487,1.83214770172704,0.008587541255909506,-0.001976187875198669,0.0006260678796538677,2
A.D. 2024-Oct-03 01:00:00.0000,-0.1778460616694994,-2.62738796914,1.832173773578417,0.008587605701719783,-0.001975204361920853,0.0006253809915713485,2
A.D. 2024-Oct-03 02:00:00.0000,-0.1774882434250345,-2.627470248832358,1.832199816810098,0.008587670009681905,-0.001974220875846649,0.0006246941342218088,2
A.D. 2024-Oct-03 03:00:00.0000,-0.1771304225039389,-2.627552487546698,1.832225831423363,0.008587734179811523,-0.001973237416982127,0.0006240073076081106,2
A.D. 2024-Oct-03 04:00:00.0000,-0.176772598911963,-2.627634685284152,1.832251817419492,0.00858779821212428,-0.00197225398533339,0.0006233205117331371,2
A.D. 2024-Oct-03 05:00:00.0000,-0.176414772654845,-2.627716842045853,1.832277774799767,0.008587862106635825,-0.001971270580906505,0.0006226337465997475,2
A.D. 2024-Oct-03 06:00:00.0000,-0.1760569437383225,-2.627798957832939,1.832303703565469,0.0085879258633618,-0.001970287203707539,0.0006219470122107997,2
A.D. 2024-Oct-03 07:00:00.0000,-0.1756991121681438,-2.627881032646541,1.832329603717879,0.008587989482317837,-0.001969303853742586,0.0006212603085691729,2
A.D. 2024-Oct-03 08:00:00.0000,-0.1753412779500451,-2.627963066487796,1.832355475258277,0.008588052963519575,-0.001968320531017706,0.0006205736356777221,2
A.D. 2024-Oct-03 09:00:00.0000,-0.1749834410897622,-2.628045059357838,1.832381318187945,0.008588116306982646,-0.001967337235538958,0.0006198869935393011,2
A.D. 2024-Oct-03 10:00:00.0000,-0.1746256015930415,-2.628127011257802,1.832407132508166,0.008588179512722678,-0.001966353967312429,0.0006192003821567849,2
A.D. 2024-Oct-03 11:00:00.0000,-0.1742677594656172,-2.628208922188826,1.832432918220219,0.008588242580755296,-0.001965370726344174,0.0006185138015330247,2
A.D. 2024-Oct-03 12:00:00.0000,-0.1739099147132229,-2.628290792152043,1.832458675325387,0.00858830551109612,-0.001964387512640242,0.0006178272516708703,2
A.D. 2024-Oct-03 13:00:00.0000,-0.1735520673416034,-2.628372621148591,1.832484403824952,0.008588368303760776,-0.001963404326206717,0.0006171407325731925,2
A.D. 2024-Oct-03 14:00:00.0000,-0.1731942173564907,-2.628454409179606,1.832510103720195,0.008588430958764876,-0.001962421167049643,0.0006164542442428381,2
A.D. 2024-Oct-03 15:00:00.0000,-0.1728363647636167,-2.628536156246225,1.8325357750124,0.008588493476124035,-0.001961438035175064,0.0006157677866826531,2
A.D. 2024-Oct-03 16:00:00.0000,-0.1724785095687239,-2.628617862349583,1.832561417702847,0.008588555855853865,-0.001960454930589056,0.000615081359895504,2
A.D. 2024-Oct-03 17:00:00.0000,-0.1721206517775428,-2.628699527490818,1.832587031792818,0.008588618097969966,-0.001959471853297657,0.0006143949638842339,2
A.D. 2024-Oct-03 18:00:00.0000,-0.1717627913958029,-2.62878115167107,1.832612617283598,0.008588680202487951,-0.001958488803306904,0.0006137085986516846,2
A.D. 2024-Oct-03 19:00:00.0000,-0.171404928429245,-2.628862734891475,1.832638174176467,0.008588742169423416,-0.001957505780622865,0.0006130222642007186,2
A.D. 2024-Oct-03 20:00:00.0000,-0.1710470628835976,-2.628944277153168,1.832663702472709,0.00858880399879196,-0.00195652278525157,0.0006123359605341748,2
A.D. 2024-Oct-03 21:00:00.0000,-0.1706891947645882,-2.629025778457292,1.832689202173606,0.008588865690609179,-0.001955539817199053,0.0006116496876548908,2
A.D. 2024-Oct-03 22:00:00.0000,-0.1703313240779557,-2.629107238804981,1.832714673280441,0.008588927244890663,-0.00195455687647137,0.0006109634455657252,2
A.D. 2024-Oct-03 23:00:00.0000,-0.1699734508294266,-2.629188658197377,1.832740115794497,0.008588988661652001,-0.001953573963074549,0.0006102772342695131,2
A.D. 2024-Oct-04 00:00:00.0000,-0.1696155750247265,-2.629270036635617,1.832765529717058,0.00858904994090878,-0.001952591077014613,0.0006095910537690879,2
A.D. 2024-Oct-04 01:00:00.0000,-0.1692576966695925,-2.629351374120841,1.832790915049406,0.00858911108267658,-0.001951608218297614,0.0006089049040673039,2
A.D. 2024-Oct-04 02:00:00.0000,-0.1688998157697487,-2.629432670654188,1.832816271792824,0.008589172086970985,-0.00195062538692957,0.0006082187851669923,2
A.D. 2024-Oct-04 03:00:00.0000,-0.1685419323309194,-2.629513926236798,1.832841599948598,0.008589232953807568,-0.001949642582916498,0.0006075326970709824,2
A.D. 2024-Oct-04 04:00:00.0000,-0.1681840463588391,-2.629595140869811,1.832866899518008,0.008589293683201904,-0.001948659806264444,0.0006068466397821245,2
A.D. 2024-Oct-04 05:00:00.0000,-0.1678261578592305,-2.629676314554367,1.832892170502341,0.008589354275169561,-0.001947677056979419,0.0006061606133032458,2
A.D. 2024-Oct-04 06:00:00.0000,-0.1674682668378155,-2.629757447291606,1.832917412902878,0.008589414729726111,-0.001946694335067432,0.0006054746176371713,2
A.D. 2024-Oct-04 07:00:00.0000,-0.167110373300327,-2.62983853908267,1.832942626720905,0.00858947504688711,-0.001945711640534524,0.0006047886527867479,2
A.D. 2024-Oct-04 08:00:00.0000,-0.1667524772524856,-2.629919589928698,1.832967811957705,0.00858953522666813,-0.001944728973386696,0.0006041027187547981,2
A.D. 2024-Oct-04 09:00:00.0000,-0.1663945787000112,-2.630000599830832,1.832992968614563,0.00858959526908472,-0.001943746333629953,0.0006034168155441434,2
A.D. 2024-Oct-04 10:00:00.0000,-0.1660366776486348,-2.630081568790214,1.833018096692762,0.008589655174152437,-0.001942763721270326,0.0006027309431576261,2
A.D. 2024-Oct-04 11:00:00.0000,-0.1656787741040751,-2.630162496807985,1.833043196193588,0.008589714941886836,-0.001941781136313812,0.0006020451015980648,2
A.D. 2024-Oct-04 12:00:00.0000,-0.1653208680720502,-2.630243383885288,1.833068267118323,0.008589774572303463,-0.001940798578766407,0.0006013592908682772,2
A.D. 2024-Oct-04 13:00:00.0000,-0.1649629595582889,-2.630324230023263,1.833093309468255,0.008589834065417867,-0.001939816048634136,0.0006006735109711014,2
A.D. 2024-Oct-04 14:00:00.0000,-0.164605048568508,-2.630405035223054,1.833118323244666,0.008589893421245585,-0.001938833545922989,0.0005999877619093522,2
A.D. 2024-Oct-04 15:00:00.0000,-0.1642471351084236,-2.630485799485805,1.833143308448842,0.00858995263980216,-0.001937851070638955,0.0005993020436858429,2
A.D. 2024-Oct-04 16:00:00.0000,-0.1638892191837629,-2.630566522812656,1.833168265082068,0.00859001172110313,-0.001936868622788051,0.0005986163563034078,2
A.D. 2024-Oct-04 17:00:00.0000,-0.1635313008002404,-2.630647205204751,1.833193193145629,0.008590070665164026,-0.001935886202376262,0.0005979306997648579,2
A.D. 2024-Oct-04 18:00:00.0000,-0.1631733799635705,-2.630727846663234,1.83321809264081,0.008590129472000382,-0.001934903809409569,0.0005972450740730024,2
A.D. 2024-Oct-04 19:00:00.0000,-0.1628154566794781,-2.630808447189251,1.833242963568897,0.008590188141627717,-0.001933921443893982,0.0005965594792306713,2
A.D. 2024-Oct-04 20:00:00.0000,-0.1624575309536762,-2.63088900678394,1.833267805931175,0.008590246674061566,-0.001932939105835479,0.0005958739152406717,2
A.D. 2024-Oct-04 21:00:00.0000,-0.1620996027918769,-2.630969525448452,1.833292619728929,0.008590305069317442,-0.001931956795240034,0.0005951883821058084,2
A.D. 2024-Oct-04 22:00:00.0000,-0.1617416721998035,-2.631050003183926,1.833317404963445,0.008590363327410866,-0.001930974512113651,0.0005945028798289082,2
A.D. 2024-Oct-04 23:00:00.0000,-0.1613837391831668,-2.631130439991509,1.83334216163601,0.008590421448357354,-0.001929992256462299,0.0005938174084127737,2
A.D. 2024-Oct-05 00:00:00.0000,-0.161025803747677,-2.631210835872346,1.833366889747909,0.008590479432172417,-0.001929010028291947,0.0005931319678602059,2
A.D. 2024-Oct-05 01:00:00.0000,-0.1606678658990555,-2.631291190827582,1.833391589300427,0.008590537278871564,-0.001928027827608592,0.0005924465581740276,2
A.D. 2024-Oct-05 02:00:00.0000,-0.1603099256430112,-2.631371504858361,1.833416260294851,0.008590594988470302,-0.001927045654418196,0.0005917611793570366,2
A.D. 2024-Oct-05 03:00:00.0000,-0.1599519829852523,-2.631451777965832,1.833440902732469,0.008590652560984131,-0.00192606350872672,0.000591075831412031,2
